Pais;Grupo quinquenal de edad;Sexo;Periodo;Poblacion
Total;Todas las edades;Total;1 de enero de 2023;48085361
Total;Todas las edades;Hombres;1 de enero de 2023;23565593
Total;Todas las edades;Mujeres;1 de enero de 2023;24519768
España;Todas las edades;Total;1 de enero de 2023;39881155
España;Todas las edades;Hombres;1 de enero de 2023;19597540
España;Todas las edades;Mujeres;1 de enero de 2023;20283615
Europa;Todas las edades;Total;1 de enero de 2023;2146434
Europa;Todas las edades;Hombres;1 de enero de 2023;1023973
Europa;Todas las edades;Mujeres;1 de enero de 2023;1122461
Bulgaria;Todas las edades;Hombres;1 de enero de 2023;51917
Bulgaria;Todas las edades;Mujeres;1 de enero de 2023;54763
Dinamarca;Todas las edades;Total;1 de enero de 2023;9267
Dinamarca;Todas las edades;Hombres;1 de enero de 2023;4865
Dinamarca;Todas las edades;Mujeres;1 de enero de 2023;4402
Finlandia;Todas las edades;Total;1 de enero de 2023;12029
Finlandia;Todas las edades;Hombres;1 de enero de 2023;5218
Finlandia;Todas las edades;Mujeres;1 de enero de 2023;6811
Francia;Todas las edades;Total;1 de enero de 2023;215283
Francia;Todas las edades;Hombres;1 de enero de 2023;104689
Francia;Todas las edades;Mujeres;1 de enero de 2023;110594
Irlanda;Todas las edades;Total;1 de enero de 2023;18913
Irlanda;Todas las edades;Hombres;1 de enero de 2023;10054
Irlanda;Todas las edades;Mujeres;1 de enero de 2023;8859
Italia;Todas las edades;Total;1 de enero de 2023;154749
Italia;Todas las edades;Hombres;1 de enero de 2023;88932
Italia;Todas las edades;Mujeres;1 de enero de 2023;65817
Paises Bajos;Todas las edades;Total;1 de enero de 2023;55312
Paises Bajos;Todas las edades;Hombres;1 de enero de 2023;28933
Paises Bajos;Todas las edades;Mujeres;1 de enero de 2023;26379
Polonia;Todas las edades;Total;1 de enero de 2023;52289
Polonia;Todas las edades;Hombres;1 de enero de 2023;20784
Polonia;Todas las edades;Mujeres;1 de enero de 2023;31505
Portugal;Todas las edades;Total;1 de enero de 2023;95171
Portugal;Todas las edades;Hombres;1 de enero de 2023;51680
Portugal;Todas las edades;Mujeres;1 de enero de 2023;43491
Alemania;Todas las edades;Total;1 de enero de 2023;176496
Alemania;Todas las edades;Hombres;1 de enero de 2023;85117
Alemania;Todas las edades;Mujeres;1 de enero de 2023;91379
Rumania;Todas las edades;Total;1 de enero de 2023;538699
Rumania;Todas las edades;Hombres;1 de enero de 2023;256339
Rumania;Todas las edades;Mujeres;1 de enero de 2023;282360
Suecia;Todas las edades;Total;1 de enero de 2023;22041
Suecia;Todas las edades;Hombres;1 de enero de 2023;10413
Suecia;Todas las edades;Mujeres;1 de enero de 2023;11628
Lituania;Todas las edades;Total;1 de enero de 2023;14917
Lituania;Todas las edades;Hombres;1 de enero de 2023;5998
Lituania;Todas las edades;Mujeres;1 de enero de 2023;8919
Otro pais de la Unión Europea sin España;Todas las edades;Total;1 de enero de 2023;""
Otro pais de la Unión Europea sin España;Todas las edades;Hombres;1 de enero de 2023;""
Otro pais de la Unión Europea sin España;Todas las edades;Mujeres;1 de enero de 2023;""
Reino Unido;Todas las edades;Total;1 de enero de 2023;293696
Reino Unido;Todas las edades;Hombres;1 de enero de 2023;148946
Reino Unido;Todas las edades;Mujeres;1 de enero de 2023;144750
Europa menos UE28;Todas las edades;Total;1 de enero de 2023;""
Europa menos UE28;Todas las edades;Hombres;1 de enero de 2023;""
Europa menos UE28;Todas las edades;Mujeres;1 de enero de 2023;""
Noruega;Todas las edades;Total;1 de enero de 2023;11169
Noruega;Todas las edades;Hombres;1 de enero de 2023;5518
Noruega;Todas las edades;Mujeres;1 de enero de 2023;5651
Suiza;Todas las edades;Total;1 de enero de 2023;59406
Suiza;Todas las edades;Hombres;1 de enero de 2023;29313
Suiza;Todas las edades;Mujeres;1 de enero de 2023;30093
Ucrania;Todas las edades;Total;1 de enero de 2023;197192
Ucrania;Todas las edades;Hombres;1 de enero de 2023;75722
Ucrania;Todas las edades;Mujeres;1 de enero de 2023;121470
Moldavia;Todas las edades;Total;1 de enero de 2023;24134
Moldavia;Todas las edades;Hombres;1 de enero de 2023;11169
Moldavia;Todas las edades;Mujeres;1 de enero de 2023;12965
Rusia;Todas las edades;Total;1 de enero de 2023;118801
Rusia;Todas las edades;Hombres;1 de enero de 2023;44615
Rusia;Todas las edades;Mujeres;1 de enero de 2023;74186
Otro pais del resto de Europa;Todas las edades;Total;1 de enero de 2023;76870
Otro pais del resto de Europa;Todas las edades;Hombres;1 de enero de 2023;37091
Otro pais del resto de Europa;Todas las edades;Mujeres;1 de enero de 2023;39779
Africa;Todas las edades;Total;1 de enero de 2023;1435992
Africa;Todas las edades;Hombres;1 de enero de 2023;876057
Africa;Todas las edades;Mujeres;1 de enero de 2023;559935
Argelia;Todas las edades;Total;1 de enero de 2023;79026
Argelia;Todas las edades;Hombres;1 de enero de 2023;50597
Argelia;Todas las edades;Mujeres;1 de enero de 2023;28429
Gambia;Todas las edades;Total;1 de enero de 2023;27574
Gambia;Todas las edades;Hombres;1 de enero de 2023;22718
Gambia;Todas las edades;Mujeres;1 de enero de 2023;4856
Ghana;Todas las edades;Total;1 de enero de 2023;22266
Ghana;Todas las edades;Hombres;1 de enero de 2023;16096
Ghana;Todas las edades;Mujeres;1 de enero de 2023;6170
Guinea;Todas las edades;Total;1 de enero de 2023;14869
Guinea;Todas las edades;Hombres;1 de enero de 2023;10293
Guinea;Todas las edades;Mujeres;1 de enero de 2023;4576
Guinea Ecuatorial;Todas las edades;Total;1 de enero de 2023;23723
Guinea Ecuatorial;Todas las edades;Hombres;1 de enero de 2023;8667
Guinea Ecuatorial;Todas las edades;Mujeres;1 de enero de 2023;15056
Mali;Todas las edades;Total;1 de enero de 2023;32676
Mali;Todas las edades;Hombres;1 de enero de 2023;28823
Mali;Todas las edades;Mujeres;1 de enero de 2023;3853
Marruecos;Todas las edades;Total;1 de enero de 2023;1026371
Marruecos;Todas las edades;Hombres;1 de enero de 2023;593567
Marruecos;Todas las edades;Mujeres;1 de enero de 2023;432804
Mauritania;Todas las edades;Total;1 de enero de 2023;11830
Mauritania;Todas las edades;Hombres;1 de enero de 2023;8830
Mauritania;Todas las edades;Mujeres;1 de enero de 2023;3000
Nigeria;Todas las edades;Total;1 de enero de 2023;33390
Nigeria;Todas las edades;Hombres;1 de enero de 2023;19438
Nigeria;Todas las edades;Mujeres;1 de enero de 2023;13952
Senegal;Todas las edades;Total;1 de enero de 2023;91568
Senegal;Todas las edades;Hombres;1 de enero de 2023;73269
Senegal;Todas las edades;Mujeres;1 de enero de 2023;18299
Otro pais de Africa;Todas las edades;Total;1 de enero de 2023;72699
Otro pais de Africa;Todas las edades;Hombres;1 de enero de 2023;43759
Otro pais de Africa;Todas las edades;Mujeres;1 de enero de 2023;28940
America del Norte;Todas las edades;Total;1 de enero de 2023;145865
America del Norte;Todas las edades;Hombres;1 de enero de 2023;64127
America del Norte;Todas las edades;Mujeres;1 de enero de 2023;81738
Estados Unidos de America;Todas las edades;Total;1 de enero de 2023;64227
Estados Unidos de America;Todas las edades;Hombres;1 de enero de 2023;30006
Estados Unidos de America;Todas las edades;Mujeres;1 de enero de 2023;34221
Mexico;Todas las edades;Total;1 de enero de 2023;72669
Mexico;Todas las edades;Hombres;1 de enero de 2023;29827
Mexico;Todas las edades;Mujeres;1 de enero de 2023;42842
Canada;Todas las edades;Total;1 de enero de 2023;8969
Canada;Todas las edades;Hombres;1 de enero de 2023;4294
Canada;Todas las edades;Mujeres;1 de enero de 2023;4675
Centro America y Caribe;Todas las edades;Total;1 de enero de 2023;720178
Centro America y Caribe;Todas las edades;Hombres;1 de enero de 2023;278283
Centro America y Caribe;Todas las edades;Mujeres;1 de enero de 2023;441895
Cuba;Todas las edades;Total;1 de enero de 2023;198639
Cuba;Todas las edades;Hombres;1 de enero de 2023;90652
Cuba;Todas las edades;Mujeres;1 de enero de 2023;107987
Honduras;Todas las edades;Total;1 de enero de 2023;177616
Honduras;Todas las edades;Hombres;1 de enero de 2023;55100
Honduras;Todas las edades;Mujeres;1 de enero de 2023;122516
Nicaragua;Todas las edades;Total;1 de enero de 2023;80013
Nicaragua;Todas las edades;Hombres;1 de enero de 2023;24255
Nicaragua;Todas las edades;Mujeres;1 de enero de 2023;55758
Republica Dominicana;Todas las edades;Total;1 de enero de 2023;193653
Republica Dominicana;Todas las edades;Hombres;1 de enero de 2023;78867
Republica Dominicana;Todas las edades;Mujeres;1 de enero de 2023;114786
Otro pais de Centro America y Caribe;Todas las edades;Total;1 de enero de 2023;70257
Otro pais de Centro America y Caribe;Todas las edades;Hombres;1 de enero de 2023;29409
Otro pais de Centro America y Caribe;Todas las edades;Mujeres;1 de enero de 2023;40848
Sudamerica;Todas las edades;Total;1 de enero de 2023;2996913
Sudamerica;Todas las edades;Hombres;1 de enero de 2023;1328628
Sudamerica;Todas las edades;Mujeres;1 de enero de 2023;1668285
Argentina;Todas las edades;Total;1 de enero de 2023;373064
Argentina;Todas las edades;Hombres;1 de enero de 2023;187001
Argentina;Todas las edades;Mujeres;1 de enero de 2023;186063
Bolivia;Todas las edades;Total;1 de enero de 2023;183734
Bolivia;Todas las edades;Hombres;1 de enero de 2023;74687
Bolivia;Todas las edades;Mujeres;1 de enero de 2023;109047
Brasil;Todas las edades;Total;1 de enero de 2023;167265
Brasil;Todas las edades;Hombres;1 de enero de 2023;63807
Brasil;Todas las edades;Mujeres;1 de enero de 2023;103458
Colombia;Todas las edades;Total;1 de enero de 2023;715655
Colombia;Todas las edades;Hombres;1 de enero de 2023;307117
Colombia;Todas las edades;Mujeres;1 de enero de 2023;408538
Chile;Todas las edades;Total;1 de enero de 2023;70307
Chile;Todas las edades;Hombres;1 de enero de 2023;32991
Chile;Todas las edades;Mujeres;1 de enero de 2023;37316
Ecuador;Todas las edades;Total;1 de enero de 2023;430837
Ecuador;Todas las edades;Hombres;1 de enero de 2023;200136
Ecuador;Todas las edades;Mujeres;1 de enero de 2023;230701
Paraguay;Todas las edades;Total;1 de enero de 2023;127767
Paraguay;Todas las edades;Hombres;1 de enero de 2023;42221
Paraguay;Todas las edades;Mujeres;1 de enero de 2023;85546
Peru;Todas las edades;Total;1 de enero de 2023;322407
Peru;Todas las edades;Hombres;1 de enero de 2023;141215
Peru;Todas las edades;Mujeres;1 de enero de 2023;181192
Uruguay;Todas las edades;Total;1 de enero de 2023;86620
Uruguay;Todas las edades;Hombres;1 de enero de 2023;42960
Uruguay;Todas las edades;Mujeres;1 de enero de 2023;43660
Venezuela;Todas las edades;Total;1 de enero de 2023;518918
Venezuela;Todas las edades;Hombres;1 de enero de 2023;236333
Venezuela;Todas las edades;Mujeres;1 de enero de 2023;282585
Otro pais de Sudamerica;Todas las edades;Total;1 de enero de 2023;339
Otro pais de Sudamerica;Todas las edades;Hombres;1 de enero de 2023;160
Otro pais de Sudamerica;Todas las edades;Mujeres;1 de enero de 2023;179
Asia;Todas las edades;Total;1 de enero de 2023;534877
Asia;Todas las edades;Hombres;1 de enero de 2023;288173
Asia;Todas las edades;Mujeres;1 de enero de 2023;246704
Bangladesh;Todas las edades;Total;1 de enero de 2023;19162
Bangladesh;Todas las edades;Hombres;1 de enero de 2023;13561
Bangladesh;Todas las edades;Mujeres;1 de enero de 2023;5601
China;Todas las edades;Total;1 de enero de 2023;192346
China;Todas las edades;Hombres;1 de enero de 2023;88740
China;Todas las edades;Mujeres;1 de enero de 2023;103606
Filipinas;Todas las edades;Total;1 de enero de 2023;54807
Filipinas;Todas las edades;Hombres;1 de enero de 2023;19336
Filipinas;Todas las edades;Mujeres;1 de enero de 2023;35471
India;Todas las edades;Total;1 de enero de 2023;60679
India;Todas las edades;Hombres;1 de enero de 2023;37032
India;Todas las edades;Mujeres;1 de enero de 2023;23647
Pakistan;Todas las edades;Total;1 de enero de 2023;114693
Pakistan;Todas las edades;Hombres;1 de enero de 2023;81398
Pakistan;Todas las edades;Mujeres;1 de enero de 2023;33295
Otro pais de Asia;Todas las edades;Total;1 de enero de 2023;93190
Otro pais de Asia;Todas las edades;Hombres;1 de enero de 2023;48106
Otro pais de Asia;Todas las edades;Mujeres;1 de enero de 2023;45084
Oceania;Todas las edades;Total;1 de enero de 2023;9590
Oceania;Todas las edades;Hombres;1 de enero de 2023;5192
Oceania;Todas las edades;Mujeres;1 de enero de 2023;4398
Extranjera;Todas las edades;Total;1 de enero de 2023;8204206
Extranjera;Todas las edades;Hombres;1 de enero de 2023;3968053
Extranjera;Todas las edades;Mujeres;1 de enero de 2023;4236153